entity_id,state,last_changed
sensor.shellyem3_244cab435bf4_channel_b_power,300.57,2025-01-13T23:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,301.56,2025-01-13T23:00:06.086Z
sensor.shellyem3_244cab435bf4_channel_b_power,308.75,2025-01-13T23:00:39.041Z
sensor.shellyem3_244cab435bf4_channel_b_power,302.83,2025-01-13T23:01:12.091Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.27,2025-01-13T23:01:45.148Z
sensor.shellyem3_244cab435bf4_channel_b_power,137.45,2025-01-13T23:02:17.993Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.48,2025-01-13T23:02:51.048Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.53,2025-01-13T23:03:24.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.26,2025-01-13T23:03:57.053Z
sensor.shellyem3_244cab435bf4_channel_b_power,130.18,2025-01-13T23:04:30.007Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.39,2025-01-13T23:05:03.059Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.28,2025-01-13T23:05:36.011Z
sensor.shellyem3_244cab435bf4_channel_b_power,126.86,2025-01-13T23:06:09.065Z
sensor.shellyem3_244cab435bf4_channel_b_power,129.07,2025-01-13T23:06:42.016Z
sensor.shellyem3_244cab435bf4_channel_b_power,140.57,2025-01-13T23:07:14.970Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.69,2025-01-13T23:07:48.022Z
sensor.shellyem3_244cab435bf4_channel_b_power,132.75,2025-01-13T23:08:21.077Z
sensor.shellyem3_244cab435bf4_channel_b_power,124.76,2025-01-13T23:08:53.971Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.91,2025-01-13T23:09:27.083Z
sensor.shellyem3_244cab435bf4_channel_b_power,126.34,2025-01-13T23:10:00.036Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.43,2025-01-13T23:10:32.987Z
sensor.shellyem3_244cab435bf4_channel_b_power,126.15,2025-01-13T23:11:05.972Z
sensor.shellyem3_244cab435bf4_channel_b_power,123.84,2025-01-13T23:11:38.993Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.68,2025-01-13T23:12:11.970Z
sensor.shellyem3_244cab435bf4_channel_b_power,131.74,2025-01-13T23:12:44.998Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.18,2025-01-13T23:13:18.052Z
sensor.shellyem3_244cab435bf4_channel_b_power,136.09,2025-01-13T23:13:51.006Z
sensor.shellyem3_244cab435bf4_channel_b_power,136.62,2025-01-13T23:14:24.057Z
sensor.shellyem3_244cab435bf4_channel_b_power,135.47,2025-01-13T23:14:57.009Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.45,2025-01-13T23:15:30.064Z
sensor.shellyem3_244cab435bf4_channel_b_power,131.79,2025-01-13T23:16:03.017Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.04,2025-01-13T23:16:35.971Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.57,2025-01-13T23:17:08.970Z
sensor.shellyem3_244cab435bf4_channel_b_power,132.06,2025-01-13T23:17:41.976Z
