entity_id,state,last_changed
sensor.envoy_482310100274_production_d_electricite_actuelle,0,2025-01-13T23:00:00.000Z
sensor.envoy_482310100274_production_d_electricite_actuelle,1,2025-01-14T07:54:32.305Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3,2025-01-14T07:56:32.424Z
sensor.envoy_482310100274_production_d_electricite_actuelle,13,2025-01-14T07:57:32.333Z
sensor.envoy_482310100274_production_d_electricite_actuelle,18,2025-01-14T07:58:32.593Z
sensor.envoy_482310100274_production_d_electricite_actuelle,21,2025-01-14T07:59:32.367Z
sensor.envoy_482310100274_production_d_electricite_actuelle,47,2025-01-14T08:01:32.315Z
sensor.envoy_482310100274_production_d_electricite_actuelle,70,2025-01-14T08:02:32.276Z
sensor.envoy_482310100274_production_d_electricite_actuelle,102,2025-01-14T08:03:32.258Z
sensor.envoy_482310100274_production_d_electricite_actuelle,138,2025-01-14T08:04:32.440Z
sensor.envoy_482310100274_production_d_electricite_actuelle,142,2025-01-14T08:05:32.248Z
sensor.envoy_482310100274_production_d_electricite_actuelle,148,2025-01-14T08:06:32.580Z
sensor.envoy_482310100274_production_d_electricite_actuelle,163,2025-01-14T08:07:32.338Z
sensor.envoy_482310100274_production_d_electricite_actuelle,178,2025-01-14T08:08:32.512Z
sensor.envoy_482310100274_production_d_electricite_actuelle,185,2025-01-14T08:09:32.627Z
sensor.envoy_482310100274_production_d_electricite_actuelle,206,2025-01-14T08:10:32.343Z
sensor.envoy_482310100274_production_d_electricite_actuelle,259,2025-01-14T08:11:32.561Z
sensor.envoy_482310100274_production_d_electricite_actuelle,434,2025-01-14T08:12:32.438Z
sensor.envoy_482310100274_production_d_electricite_actuelle,479,2025-01-14T08:13:32.400Z
sensor.envoy_482310100274_production_d_electricite_actuelle,504,2025-01-14T08:14:32.585Z
sensor.envoy_482310100274_production_d_electricite_actuelle,647,2025-01-14T08:16:32.364Z
sensor.envoy_482310100274_production_d_electricite_actuelle,745,2025-01-14T08:17:32.264Z
sensor.envoy_482310100274_production_d_electricite_actuelle,773,2025-01-14T08:18:32.478Z
sensor.envoy_482310100274_production_d_electricite_actuelle,842,2025-01-14T08:19:32.391Z
sensor.envoy_482310100274_production_d_electricite_actuelle,855,2025-01-14T08:20:32.611Z
sensor.envoy_482310100274_production_d_electricite_actuelle,861,2025-01-14T08:21:32.493Z
