entity_id,state,last_changed
sensor.envoy_482310100274_production_d_electricite_actuelle,1,2025-01-13T07:39:51.981Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2,2025-01-13T07:44:55.704Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4,2025-01-13T07:47:56.697Z
sensor.envoy_482310100274_production_d_electricite_actuelle,11,2025-01-13T07:50:57.925Z
sensor.envoy_482310100274_production_d_electricite_actuelle,16,2025-01-13T07:51:58.743Z
sensor.envoy_482310100274_production_d_electricite_actuelle,26,2025-01-13T07:55:12.616Z
sensor.envoy_482310100274_production_d_electricite_actuelle,35,2025-01-13T07:56:12.352Z
sensor.envoy_482310100274_production_d_electricite_actuelle,39,2025-01-13T07:57:12.364Z
sensor.envoy_482310100274_production_d_electricite_actuelle,40,2025-01-13T07:58:12.308Z
sensor.envoy_482310100274_production_d_electricite_actuelle,41,2025-01-13T07:59:12.454Z
sensor.envoy_482310100274_production_d_electricite_actuelle,42,2025-01-13T08:00:12.702Z
sensor.envoy_482310100274_production_d_electricite_actuelle,43,2025-01-13T08:01:12.345Z
sensor.envoy_482310100274_production_d_electricite_actuelle,46,2025-01-13T08:02:12.565Z
sensor.envoy_482310100274_production_d_electricite_actuelle,52,2025-01-13T08:03:12.443Z
sensor.envoy_482310100274_production_d_electricite_actuelle,73,2025-01-13T08:06:12.488Z
sensor.envoy_482310100274_production_d_electricite_actuelle,84,2025-01-13T08:07:12.392Z
sensor.envoy_482310100274_production_d_electricite_actuelle,85,2025-01-13T08:08:12.729Z
sensor.envoy_482310100274_production_d_electricite_actuelle,143,2025-01-13T08:10:12.381Z
sensor.envoy_482310100274_production_d_electricite_actuelle,171,2025-01-13T08:11:12.285Z
sensor.envoy_482310100274_production_d_electricite_actuelle,245,2025-01-13T08:12:12.529Z
sensor.envoy_482310100274_production_d_electricite_actuelle,250,2025-01-13T08:13:12.315Z
sensor.envoy_482310100274_production_d_electricite_actuelle,260,2025-01-13T08:14:12.375Z
sensor.envoy_482310100274_production_d_electricite_actuelle,290,2025-01-13T08:15:12.530Z
sensor.envoy_482310100274_production_d_electricite_actuelle,300,2025-01-13T08:16:12.461Z
sensor.envoy_482310100274_production_d_electricite_actuelle,327,2025-01-13T08:17:12.600Z
sensor.envoy_482310100274_production_d_electricite_actuelle,469,2025-01-13T08:18:12.622Z
sensor.envoy_482310100274_production_d_electricite_actuelle,482,2025-01-13T08:19:12.495Z
sensor.envoy_482310100274_production_d_electricite_actuelle,490,2025-01-13T08:20:12.712Z
sensor.envoy_482310100274_production_d_electricite_actuelle,1123,2025-01-13T08:21:12.588Z
sensor.envoy_482310100274_production_d_electricite_actuelle,1468,2025-01-13T08:22:12.556Z
sensor.envoy_482310100274_production_d_electricite_actuelle,1476,2025-01-13T08:23:12.574Z
sensor.envoy_482310100274_production_d_electricite_actuelle,1665,2025-01-13T08:25:12.631Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2067,2025-01-13T08:26:12.427Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2569,2025-01-13T08:27:12.269Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2605,2025-01-13T08:28:12.735Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2632,2025-01-13T08:30:12.473Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2665,2025-01-13T08:31:12.563Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2709,2025-01-13T08:32:12.478Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2856,2025-01-13T08:33:12.353Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2877,2025-01-13T08:34:12.979Z
sensor.envoy_482310100274_production_d_electricite_actuelle,2893,2025-01-13T08:36:13.303Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3259,2025-01-13T08:37:13.595Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3331,2025-01-13T08:38:13.427Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3368,2025-01-13T08:40:13.544Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3453,2025-01-13T08:41:13.568Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3585,2025-01-13T08:42:13.463Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3587,2025-01-13T08:43:13.580Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3600,2025-01-13T08:44:13.490Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3626,2025-01-13T08:46:13.298Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3629,2025-01-13T08:47:13.518Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3691,2025-01-13T08:48:13.414Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3698,2025-01-13T08:49:13.329Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3702,2025-01-13T08:50:13.561Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3712,2025-01-13T08:51:13.570Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3832,2025-01-13T08:52:13.344Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3856,2025-01-13T08:53:13.651Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3857,2025-01-13T08:54:13.446Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3894,2025-01-13T08:56:13.674Z
sensor.envoy_482310100274_production_d_electricite_actuelle,3952,2025-01-13T08:57:13.275Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4030,2025-01-13T08:58:13.263Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4045,2025-01-13T08:59:13.383Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4071,2025-01-13T09:01:13.389Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4072,2025-01-13T09:02:13.310Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4093,2025-01-13T09:03:13.525Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4132,2025-01-13T09:04:13.267Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4138,2025-01-13T09:05:13.335Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4150,2025-01-13T09:06:13.543Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4189,2025-01-13T09:07:13.288Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4246,2025-01-13T09:08:13.362Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4266,2025-01-13T09:09:13.565Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4267,2025-01-13T09:10:13.292Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4284,2025-01-13T09:11:13.391Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4348,2025-01-13T09:12:13.286Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4444,2025-01-13T09:13:13.527Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4458,2025-01-13T09:14:13.459Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4489,2025-01-13T09:16:13.567Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4490,2025-01-13T09:17:13.630Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4492,2025-01-13T09:18:13.335Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4534,2025-01-13T09:19:13.571Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4539,2025-01-13T09:20:13.464Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4554,2025-01-13T09:21:13.353Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4568,2025-01-13T09:22:13.582Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4597,2025-01-13T09:23:13.621Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4603,2025-01-13T09:24:13.421Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4604,2025-01-13T09:25:13.294Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4606,2025-01-13T09:26:13.513Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4613,2025-01-13T09:27:13.269Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4671,2025-01-13T09:28:13.413Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4749,2025-01-13T09:29:13.549Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4783,2025-01-13T09:31:13.317Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4784,2025-01-13T09:32:13.266Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4785,2025-01-13T09:33:13.572Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4801,2025-01-13T09:34:13.362Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4814,2025-01-13T09:35:13.394Z
sensor.envoy_482310100274_production_d_electricite_actuelle,4828,2025-01-13T09:36:13.506Z
